survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2014,100654,5333,4925,4675,658,5,91,1,1,0,0,0,0,1,1,55,28,4210,1207,181,2818,4,3930,1194,161,2575,0,280,13,20,243,4,3,93,1,0,0,0,0,0,1,1,52,1123,745,378,13,80,1,1,1,0,0,0,2,3,69,,,,,,,,,,,,,,777,369,0,61,64,31,0,5,0,10,90,1,10,89,0,6,94
2014,100663,18698,14770,12334,6364,63,21,3,5,5,0,0,3,1,4,60,15,11679,1748,1449,8186,296,8472,1719,924,5773,56,3207,29,525,2413,240,59,26,3,5,5,0,0,4,1,2,58,7019,3862,3157,71,13,2,5,5,0,0,2,1,6,64,8056,2770,5286,3323,872,2451,4733,1898,2835,1,76,24,0,1471,243,34,0,84,14,2,0,20,25,56,11,34,55,34,9,56
2014,100690,625,406,269,356,29,41,1,1,1,0,0,0,29,0,60,2,291,12,0,279,0,159,6,0,153,0,132,6,0,126,0,30,42,1,0,0,0,0,0,27,0,60,334,110,224,28,40,1,1,1,0,0,0,30,0,59,570,251,319,236,132,104,334,119,215,0,13,86,1,7,2,0,3,58,17,0,25,100,0,0,100,0,0,100,0,0
2014,100706,7348,5863,4935,2413,69,11,3,4,4,0,1,1,3,6,43,13,5618,724,685,4042,167,4304,714,554,3013,23,1314,10,131,1029,144,70,12,4,4,4,0,1,2,4,4,43,1730,631,1099,68,8,2,3,3,0,1,1,3,14,44,,,,,,,,,,,,,,581,129,10,4,80,18,1,1,4,7,89,1,6,93,13,10,77
2014,100724,5519,5003,4682,837,4,90,1,0,0,0,0,1,1,2,62,22,4812,1087,124,3600,1,4383,1068,111,3203,1,429,19,13,397,0,2,92,1,0,0,0,0,1,1,2,61,707,299,408,19,73,1,2,2,0,0,1,1,2,68,1152,570,582,606,398,208,546,172,374,0,88,12,0,581,494,0,12,53,45,0,1,2,29,70,0,29,71,12,29,59
2014,100751,36047,32966,31023,5024,76,11,3,1,1,0,0,2,0,5,55,22,30752,6824,1501,21526,901,27737,6794,1151,19386,406,3015,30,350,2140,495,77,11,3,1,1,0,0,3,0,4,54,5295,3286,2009,70,13,3,1,1,0,0,2,1,10,59,6149,2511,3638,2752,939,1813,3397,1572,1825,2,90,8,0,2462,4254,93,15,36,62,1,0,9,17,74,6,19,76,24,10,66
2014,100760,1726,1226,974,752,73,25,1,0,0,0,0,0,0,0,59,30,1726,576,108,908,134,974,518,43,413,0,752,58,65,495,134,73,25,1,0,0,0,0,0,0,0,59,0,0,0,,,,,,,,,,,,476,476,0,201,201,0,275,275,0,2,70,28,0,461,3,1,111,80,1,0,19,4,25,70,4,25,70,,,
2014,100812,3128,2062,1341,1787,77,13,2,1,1,0,2,2,3,1,65,0,3128,0,771,2220,137,1341,0,417,924,0,1787,0,354,1296,137,77,13,2,1,1,0,2,2,3,1,65,0,0,0,,,,,,,,,,,,2030,2030,0,671,671,0,1359,1359,0,0,35,65,0,,,,,,,,,53,35,12,53,35,12,,,
2014,100830,5057,4004,3323,1734,51,32,1,2,2,0,0,3,6,5,64,15,4377,693,466,3145,73,3081,637,322,2117,5,1296,56,144,1028,68,54,33,1,2,2,0,0,3,2,4,63,680,242,438,33,25,0,1,1,0,1,1,30,8,67,1761,1186,575,690,514,176,1071,672,399,0,72,27,0,624,62,3,4,90,9,0,1,6,24,70,4,24,72,17,25,58
2014,100858,25912,23512,22035,3877,80,7,2,2,2,0,1,0,1,6,49,22,20629,4592,1270,14652,115,18853,4552,1140,13054,107,1776,40,130,1598,8,85,7,2,2,2,0,1,0,1,2,49,5283,3182,2101,64,8,2,3,3,0,1,0,1,21,51,4204,854,3350,2069,500,1569,2135,354,1781,1,95,4,0,2757,1793,40,2,60,39,1,0,4,12,85,0,13,87,17,5,78
2014,100937,1185,1181,1178,7,80,11,2,5,5,0,1,1,1,0,46,30,1185,352,24,804,5,1178,352,23,803,0,7,0,1,1,5,80,11,2,5,5,0,1,1,1,0,46,0,0,0,,,,,,,,,,,,19,19,0,16,16,0,3,3,0,0,98,2,0,203,149,0,0,58,42,0,0,0,0,100,0,0,100,,,
2014,101028,1805,1273,1004,801,47,43,5,2,1,0,0,2,1,0,63,19,1805,401,296,1030,78,1004,338,137,527,2,801,63,159,503,76,47,43,5,2,1,0,0,2,1,0,63,0,0,0,,,,,,,,,,,,677,677,0,242,242,0,435,435,0,2,60,38,0,299,102,0,0,75,25,0,0,1,14,85,1,14,85,,,
2014,101073,546,525,512,34,2,92,2,1,1,0,0,0,0,3,39,9,546,48,46,228,224,512,47,40,201,224,34,1,6,27,0,2,92,2,1,1,0,0,0,0,3,39,0,0,0,,,,,,,,,,,,70,70,0,51,51,0,19,19,0,2,83,15,0,20,22,6,0,42,46,13,0,0,18,82,0,18,82,,,
2014,101116,624,460,356,268,28,64,1,3,2,1,1,0,3,0,73,6,523,40,112,370,1,353,31,69,253,0,170,9,43,117,1,30,61,2,2,2,1,2,0,3,0,74,101,3,98,15,80,0,3,2,1,0,1,1,0,71,,,,,,,,,,,,,,40,0,0,0,100,0,0,0,0,28,72,0,28,72,0,29,71
2014,101143,2011,1409,1104,907,64,24,5,2,2,0,1,3,1,0,45,16,2011,409,221,1099,282,1104,316,150,602,36,907,93,71,497,246,64,24,5,2,2,0,1,3,1,0,45,0,0,0,,,,,,,,,,,,639,639,0,296,296,0,343,343,0,9,59,32,0,388,13,0,8,95,3,0,2,7,20,74,7,20,74,,,
2014,101161,4481,3189,2536,1945,70,22,3,1,1,0,2,1,0,0,63,22,4481,1217,515,2554,195,2536,970,290,1267,9,1945,247,225,1287,186,70,22,3,1,1,0,2,1,0,0,63,0,0,0,,,,,,,,,,,,1278,1278,0,471,471,0,807,807,0,3,68,29,0,1172,35,0,10,96,3,0,1,6,34,59,6,34,59,,,
2014,101189,3335,2779,2420,915,46,45,2,1,1,0,1,2,3,1,60,14,2670,407,512,1448,303,1822,385,347,1090,0,848,22,165,358,303,44,46,2,1,1,0,1,2,3,2,60,665,598,67,51,42,1,1,1,0,1,1,3,1,59,1628,1127,501,1146,702,444,482,425,57,12,46,42,0,290,109,8,0,71,27,2,0,12,28,59,5,33,63,43,12,45
2014,101240,5289,3603,2751,2538,70,20,3,1,1,0,1,2,2,2,59,20,5289,1315,288,3314,372,2751,1044,149,1500,58,2538,271,139,1814,314,70,20,3,1,1,0,1,2,2,2,59,0,0,0,,,,,,,,,,,,1805,1805,0,733,733,0,1072,1072,0,4,62,34,0,1153,30,7,125,88,2,1,10,7,30,62,7,30,62,,,
2014,101277,115,110,106,9,90,3,7,0,0,0,0,0,0,0,98,46,115,55,0,60,0,106,53,0,53,0,9,2,0,7,0,90,3,7,0,0,0,0,0,0,0,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,1,98,0,0,2,0,0,100,0,0,100,,,
2014,101286,4854,3125,2251,2603,64,31,2,1,1,0,0,1,0,0,64,18,4854,1109,348,2836,561,2251,858,190,1190,13,2603,251,158,1646,548,64,31,2,1,1,0,0,1,0,0,64,0,0,0,,,,,,,,,,,,1734,1734,0,701,701,0,1033,1033,0,8,56,36,0,980,46,0,83,88,4,0,7,5,13,82,5,13,82,,,
2014,101295,5343,3720,2899,2444,87,6,4,1,1,0,1,0,2,1,62,17,5343,1089,377,3454,423,2899,935,232,1685,47,2444,154,145,1769,376,87,6,4,1,1,0,1,0,2,1,62,0,0,0,,,,,,,,,,,,1621,1621,0,694,694,0,927,927,0,5,64,30,0,1064,17,0,8,98,2,0,1,9,30,61,9,30,61,,,
2014,101301,1663,1177,932,731,21,73,0,0,0,0,0,0,4,0,65,23,1663,466,128,919,150,932,383,63,486,0,731,83,65,433,150,21,73,0,0,0,0,0,0,4,0,65,0,0,0,,,,,,,,,,,,491,491,0,210,210,0,281,281,0,7,63,30,0,441,2,0,23,95,0,0,5,23,27,49,23,27,49,,,
