survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2022,100654,6007,5549,5262,745,2,86,1,0,0,0,0,1,8,2,61,30,5206,1557,209,3430,10,4794,1547,196,3049,2,412,10,13,381,8,2,89,1,0,0,0,0,1,4,1,59,801,468,333,2,60,0,1,1,0,0,0,31,6,68,,,,,,,,,,,,,,798,597,0,162,51,38,0,10,7,54,38,5,57,38,22,35,42
2022,100663,21639,17568,15080,6559,51,21,5,7,7,0,0,4,5,7,63,17,13032,2217,1133,9426,256,10263,2172,759,7308,24,2769,45,374,2118,232,51,25,7,8,8,0,0,5,1,3,63,8607,4817,3790,51,15,2,6,6,0,0,2,10,13,65,8040,2089,5951,3345,613,2732,4695,1476,3219,1,83,16,0,1821,365,31,0,82,16,1,0,28,40,32,19,55,26,41,18,41
2022,100690,647,409,260,387,38,55,3,1,1,1,1,0,2,0,57,0,228,0,199,29,0,129,0,119,10,0,99,0,80,19,0,29,66,3,0,0,0,0,0,1,0,64,419,131,288,43,49,2,2,1,1,1,0,3,0,53,,,,,,,,,,,,,,,,,,,,,,100,0,0,100,0,0,100,0,0
2022,100706,9237,7600,6587,2650,69,9,6,4,4,0,1,4,4,4,42,16,7169,1172,638,5175,184,5861,1154,483,4222,2,1308,18,155,953,182,70,9,7,4,4,0,1,5,3,1,41,2068,726,1342,63,9,4,3,3,0,0,1,7,12,48,2593,1082,1511,940,496,444,1653,586,1067,3,82,15,0,838,317,17,0,72,27,1,0,13,49,38,7,58,35,34,17,49
2022,100724,3828,3581,3425,403,4,90,1,0,0,0,0,1,1,2,65,28,3296,943,124,2229,0,3042,938,122,1982,0,254,5,2,247,0,2,93,1,0,0,0,0,1,1,2,64,532,383,149,20,73,1,1,1,0,0,1,1,4,70,,,,,,,,,,,,,,345,586,12,0,37,62,1,0,11,63,26,4,71,25,54,11,35
2022,100751,38644,34928,32593,6051,71,11,6,2,2,0,0,3,4,3,57,25,32458,8037,1193,22130,1098,28958,7981,857,20048,72,3500,56,336,2082,1026,73,11,6,2,2,0,0,3,4,1,56,6186,3635,2551,64,13,4,2,2,0,0,3,2,12,62,6312,2081,4231,2654,667,1987,3658,1414,2244,4,90,6,0,2799,5177,48,13,35,64,1,0,15,26,58,10,29,60,41,11,49
2022,100760,1777,938,514,1263,71,19,4,1,0,0,0,4,1,0,58,15,1777,349,98,516,814,514,270,37,201,6,1263,79,61,315,808,71,19,4,1,0,0,0,4,1,0,58,0,0,0,,,,,,,,,,,,241,241,0,67,67,0,174,174,0,42,45,14,0,328,16,0,5,94,5,0,1,22,34,44,22,34,44,,,
2022,100812,2894,1841,1152,1742,73,15,5,1,1,0,1,3,1,0,69,0,2520,0,687,1778,55,1106,0,420,686,0,1414,0,267,1092,55,76,13,5,1,0,0,1,3,1,0,70,374,46,328,57,30,4,3,3,0,2,2,1,0,62,1725,1387,338,460,420,40,1265,967,298,0,44,55,0,,,,,,,,,63,29,8,58,33,9,99,1,0
2022,100830,5109,3978,3260,1849,37,39,2,3,3,0,0,3,1,16,63,10,3754,407,336,2564,447,2568,384,244,1816,124,1186,23,92,748,323,42,44,2,3,3,0,0,4,1,4,68,1355,692,663,24,23,1,1,1,0,0,1,1,49,48,1632,779,853,699,358,341,933,421,512,7,72,21,0,407,0,0,0,100,0,0,0,19,41,39,16,42,43,30,39,31
2022,100858,31764,28491,26479,5285,79,5,4,3,3,0,0,3,0,6,51,21,25379,5303,1121,18298,657,22979,5282,969,16695,33,2400,21,152,1603,624,83,4,4,3,3,0,0,3,0,3,50,6385,3500,2885,63,8,4,3,3,0,0,2,1,19,53,5295,902,4393,2478,514,1964,2817,388,2429,2,94,4,0,3061,2195,47,0,58,41,1,0,10,33,57,4,38,57,31,12,57
2022,100937,975,971,969,6,73,15,6,2,2,0,0,1,0,2,47,25,975,244,26,698,7,969,244,26,692,7,6,0,0,6,0,73,15,6,2,2,0,0,1,0,2,47,0,0,0,,,,,,,,,,,,17,17,0,14,14,0,3,3,0,0,98,2,0,134,107,3,0,55,44,1,0,0,0,100,0,0,100,,,
2022,101028,1641,896,519,1122,39,46,1,2,1,1,0,10,2,0,66,12,1641,265,158,678,540,519,191,71,236,21,1122,74,87,442,519,39,46,1,2,1,1,0,10,2,0,66,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,183,41,0,41,69,15,0,15,15,28,56,15,28,56,,,
2022,101116,361,289,242,119,20,75,2,1,1,0,0,1,2,1,86,4,315,17,70,228,0,215,13,51,151,0,100,4,19,77,0,20,74,2,1,1,0,0,1,1,1,87,46,27,19,17,76,2,0,0,0,0,0,4,0,85,,,,,,,,,,,,,,17,0,0,0,100,0,0,0,55,15,30,50,17,33,89,2,9
2022,101143,2010,1303,945,1065,63,18,7,2,2,0,1,6,3,1,50,18,2010,462,124,773,651,945,354,73,464,54,1065,108,51,309,597,63,18,7,2,2,0,1,6,3,1,50,0,0,0,,,,,,,,,,,,407,407,0,166,166,0,241,241,0,29,51,20,0,426,26,0,10,92,6,0,2,28,30,42,28,30,42,,,
2022,101161,6800,4082,2708,4092,64,23,4,1,1,0,1,5,1,0,58,18,6800,1496,400,2913,1991,2708,1191,182,1313,22,4092,305,218,1600,1969,64,23,4,1,1,0,1,5,1,0,58,0,0,0,,,,,,,,,,,,1317,1317,0,403,403,0,914,914,0,26,55,19,0,1343,121,0,32,90,8,0,2,26,30,44,26,30,44,,,
2022,101189,2817,2360,2068,749,53,34,4,2,1,0,1,2,2,3,59,11,1792,225,274,1088,205,1207,206,200,801,0,585,19,74,287,205,48,38,4,2,1,0,0,3,2,3,56,1025,861,164,62,27,3,2,2,0,1,1,2,1,65,1493,739,754,1035,433,602,458,306,152,11,48,41,0,152,58,13,2,68,26,6,1,40,13,47,37,18,45,46,4,51
2022,101240,4352,2792,2003,2349,69,18,7,1,1,0,0,4,0,1,62,19,4352,969,341,2136,906,2003,808,187,993,15,2349,161,154,1143,891,69,18,7,1,1,0,0,4,0,1,62,0,0,0,,,,,,,,,,,,1143,1143,0,435,435,0,708,708,0,16,58,26,0,942,10,4,13,97,1,0,1,27,39,34,27,39,34,,,
2022,101277,45,45,45,0,76,0,22,0,0,0,0,0,2,0,100,82,45,37,0,8,0,45,37,0,8,0,0,0,0,0,0,76,0,22,0,0,0,0,0,2,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,37,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2022,101286,3832,2123,1259,2573,58,29,6,1,1,0,0,4,1,0,69,13,3832,770,223,2076,763,1259,494,96,664,5,2573,276,127,1412,758,58,29,6,1,1,0,0,4,1,0,69,0,0,0,,,,,,,,,,,,1139,1139,0,297,297,0,842,842,0,18,52,30,0,720,42,0,8,94,5,0,1,17,26,57,17,26,57,,,
2022,101295,5965,3552,2333,3632,79,6,9,1,1,0,1,4,0,1,64,16,5965,1296,501,2410,1758,2333,947,230,1053,103,3632,349,271,1357,1655,79,6,9,1,1,0,1,4,0,1,64,0,0,0,,,,,,,,,,,,1124,1124,0,351,351,0,773,773,0,27,54,19,0,1263,23,0,10,97,2,0,1,20,30,50,20,30,50,,,
2022,101301,1860,967,516,1344,22,72,2,1,1,0,0,0,3,1,58,13,1860,273,64,519,1004,516,238,36,226,16,1344,35,28,293,988,22,72,2,1,1,0,0,0,3,1,58,0,0,0,,,,,,,,,,,,280,280,0,82,82,0,198,198,0,49,36,15,0,265,2,0,6,97,1,0,2,47,17,36,47,17,36,,,
