survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2021,100654,5969,5416,5064,905,2,85,1,0,0,0,0,1,9,1,61,28,5107,1477,207,3414,9,4529,1417,180,2932,0,578,60,27,482,9,2,90,1,0,0,0,0,1,5,1,59,862,535,327,3,59,0,1,1,0,0,0,32,4,67,860,314,546,478,189,289,382,125,257,4,90,6,0,,,,,,,,,7,42,51,4,44,51,23,29,48
2021,100663,22289,17721,14926,7363,55,21,5,7,7,0,0,4,3,5,64,17,13547,2415,1234,9635,263,10401,2361,815,7190,35,3146,54,419,2445,228,53,25,7,8,8,0,0,5,1,3,62,8742,4525,4217,59,16,2,6,6,0,0,2,6,9,66,8715,2418,6297,3337,686,2651,5378,1732,3646,1,81,18,0,1989,401,25,0,82,17,1,0,29,37,34,19,51,30,44,15,41
2021,100690,723,456,289,434,35,57,4,1,1,0,1,0,2,0,59,0,251,0,218,33,0,136,0,118,18,0,115,0,100,15,0,25,69,4,0,0,0,0,0,1,0,69,472,153,319,41,51,4,2,1,0,1,0,2,0,55,658,214,444,261,117,144,397,97,300,0,14,85,1,,,,,,,,,100,0,0,100,0,0,100,0,0
2021,100706,9636,7944,6897,2739,69,9,5,4,4,0,1,4,5,3,43,16,7569,1204,627,5527,211,6223,1191,455,4571,6,1346,13,172,956,205,71,9,6,4,4,0,1,4,3,2,41,2067,674,1393,62,11,3,3,3,0,0,1,12,8,51,2685,1144,1541,970,547,423,1715,597,1118,3,82,15,0,816,374,13,1,68,31,1,0,14,53,33,8,62,30,34,20,46
2021,100724,3964,3609,3378,586,4,90,1,0,0,0,0,1,1,2,66,23,3499,890,133,2472,4,3055,797,125,2133,0,444,93,8,339,4,2,93,1,0,0,0,0,1,1,2,65,465,323,142,23,71,0,1,1,0,0,1,1,2,70,527,237,290,319,156,163,208,81,127,1,92,7,0,273,607,10,0,31,68,1,0,16,70,14,12,77,11,51,19,30
2021,100751,38316,34366,31895,6421,74,11,5,2,2,0,0,3,1,3,58,24,31685,7593,1402,21730,960,28124,7540,989,19545,50,3561,53,413,2185,910,76,11,5,1,1,0,0,4,1,1,57,6631,3771,2860,65,13,5,2,2,0,0,2,2,11,63,6766,2322,4444,2714,731,1983,4052,1591,2461,3,89,7,0,2851,4686,41,15,38,62,1,0,16,24,60,10,27,63,42,13,45
2021,100760,1578,858,494,1084,75,16,3,0,0,0,0,3,2,0,59,14,1578,293,88,559,638,494,219,35,236,4,1084,74,53,323,634,75,16,3,0,0,0,0,3,2,0,59,0,0,0,,,,,,,,,,,,244,244,0,64,64,0,180,180,0,33,51,15,0,285,6,0,2,97,2,0,1,24,32,44,24,32,44,,,
2021,100812,2794,1816,1168,1626,74,15,4,1,1,0,1,3,2,0,69,0,2559,0,700,1811,48,1136,0,444,692,0,1423,0,256,1119,48,76,13,4,1,1,0,1,3,2,0,70,235,32,203,54,35,4,2,2,0,1,2,1,0,60,1624,1417,207,462,436,26,1162,981,181,0,44,55,0,,,,,,,,,60,31,9,56,34,9,100,0,0
2021,100830,5068,4059,3417,1651,41,42,1,3,2,0,0,3,1,8,66,13,4086,539,377,2826,344,3017,517,300,2095,105,1069,22,77,731,239,42,44,1,3,3,0,0,4,1,4,67,982,400,582,35,34,1,2,2,0,0,1,2,24,60,1499,829,670,594,391,203,905,438,467,4,75,20,0,490,25,22,2,91,5,4,0,19,41,40,13,42,45,45,36,19
2021,100858,31526,28263,26269,5257,78,5,4,3,2,0,0,3,0,7,50,21,24931,5311,1147,18324,149,22715,5254,1005,16415,41,2216,57,142,1909,108,82,5,4,2,2,0,0,3,0,4,49,6595,3554,3041,65,8,4,3,3,0,0,2,0,17,53,5510,997,4513,2540,524,2016,2970,473,2497,1,95,4,0,2923,2263,0,125,55,43,0,2,9,37,54,3,43,54,31,15,54
