survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2023,100654,6614,6031,5660,954,2,86,1,0,0,0,0,2,6,3,60,34,5845,1990,280,3456,119,5221,1976,246,2997,2,624,14,34,459,117,2,89,1,0,0,0,0,2,4,2,59,769,439,330,3,61,0,0,0,0,0,0,27,8,67,970,413,557,517,242,275,453,171,282,1,92,7,0,,,,,,,,,6,40,54,5,41,54,18,29,53
2023,100663,21160,17216,14815,6345,49,22,6,8,8,0,0,4,3,8,63,17,12382,2095,1060,8963,264,9841,2057,722,7026,36,2541,38,338,1937,228,48,27,8,9,9,0,0,5,1,2,63,8778,4974,3804,50,15,4,6,6,0,0,3,6,16,64,8007,2047,5960,3399,647,2752,4608,1400,3208,1,82,17,0,1716,342,37,0,82,16,2,0,27,42,31,19,57,24,40,20,41
2023,100690,636,405,261,375,39,56,2,1,1,1,1,0,1,0,57,0,226,0,170,56,0,129,0,105,24,0,97,0,65,32,0,28,67,3,0,0,0,0,0,1,0,63,410,132,278,44,50,1,2,1,1,1,0,1,0,53,579,189,390,231,102,129,348,87,261,0,14,84,3,,,,,,,,,100,0,0,100,0,0,100,0,0
2023,100706,8743,7218,6275,2468,67,9,6,4,4,0,1,4,3,4,41,17,6851,1176,603,4871,201,5644,1162,454,4026,2,1207,14,149,845,199,69,9,7,5,4,0,1,5,3,1,39,1892,631,1261,63,8,4,4,3,0,0,2,5,14,46,2425,1030,1395,878,494,384,1547,536,1011,3,82,15,0,793,365,12,6,67,31,1,1,10,45,45,5,52,42,26,18,56
2023,100724,3870,3545,3337,533,4,89,1,0,0,0,0,1,2,2,65,27,3322,951,140,2231,0,2959,909,129,1921,0,363,42,11,310,0,2,91,1,0,0,0,0,1,2,2,64,548,378,170,17,75,1,1,1,0,0,1,1,3,69,576,229,347,335,139,196,241,90,151,2,91,7,0,,,,,,,,,13,69,18,6,76,19,57,30,13
2023,100751,39622,35962,33663,5959,70,12,7,2,2,0,0,3,3,3,57,25,33435,8279,1151,22893,1112,30003,8215,803,20938,47,3432,64,348,1955,1065,72,11,7,2,1,0,0,4,4,1,56,6187,3660,2527,62,13,5,2,2,0,0,3,2,13,62,6269,1997,4272,2717,680,2037,3552,1317,2235,4,90,6,0,2956,5251,51,21,36,63,1,0,15,28,57,10,31,58,42,10,47
2023,100760,1910,1014,561,1349,69,22,5,1,1,0,0,3,0,0,60,14,1910,381,122,631,776,561,274,46,230,11,1349,107,76,401,765,69,22,5,1,1,0,0,3,0,0,60,0,0,0,,,,,,,,,,,,340,340,0,72,72,0,268,268,0,37,45,18,0,360,16,0,5,94,4,0,1,17,33,49,17,33,49,,,
2023,100812,2955,1884,1184,1771,72,15,5,1,1,0,1,3,2,0,70,0,2531,0,647,1760,124,1121,0,413,702,6,1410,0,234,1058,118,74,12,5,1,1,0,1,3,3,0,70,424,63,361,58,31,4,2,2,0,1,2,1,0,65,1779,1405,374,522,468,54,1257,937,320,1,44,56,0,,,,,,,,,70,22,8,66,26,8,96,1,2
2023,100830,5189,3982,3233,1956,33,35,1,2,2,0,0,3,1,23,59,12,3407,413,254,2026,714,2422,408,221,1533,260,985,5,33,493,454,42,43,2,3,3,0,0,5,1,4,66,1782,811,971,16,20,0,1,1,0,0,1,1,60,45,1687,695,992,721,355,366,966,340,626,10,69,20,0,368,22,13,10,89,5,3,2,21,40,39,19,45,37,24,32,44
2023,100858,33015,29685,27618,5397,79,5,4,3,3,0,0,3,0,5,51,22,26874,5935,1221,18576,1142,24135,5916,1097,17083,39,2739,19,124,1493,1103,83,4,4,3,3,0,0,3,0,2,50,6141,3483,2658,62,8,4,3,3,0,0,2,0,20,53,3107,844,2263,1320,462,858,1787,382,1405,4,93,3,0,3188,2707,40,0,54,46,1,0,10,35,55,5,39,55,30,16,54
