survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2017,100654,6001,5589,5335,666,4,89,1,0,0,0,0,1,3,1,60,26,5038,1294,157,3373,214,4714,1288,145,3075,206,324,6,12,298,8,3,90,1,0,0,0,0,1,4,1,58,963,621,342,11,84,0,1,1,0,0,0,1,3,69,1066,380,686,673,279,394,393,101,292,1,92,8,0,667,611,0,16,52,47,0,1,2,17,81,1,17,82,5,16,79
2017,100663,20902,16471,13734,7168,60,21,3,6,6,0,0,4,1,5,61,17,13134,2299,1555,9012,268,9677,2228,905,6497,47,3457,71,650,2515,221,57,26,3,6,6,0,0,4,1,3,59,7768,4057,3711,64,14,3,5,5,0,0,3,2,8,64,8680,3007,5673,3280,923,2357,5400,2084,3316,1,76,23,0,1935,327,37,0,84,14,2,0,24,31,45,15,43,42,38,11,51
2017,100690,670,411,248,422,30,64,2,2,1,1,0,0,3,0,61,2,318,19,221,78,0,145,5,111,29,0,173,14,110,49,0,23,72,2,1,1,0,0,0,2,0,63,352,103,249,37,56,1,2,1,1,0,0,3,0,59,599,262,337,209,109,100,390,153,237,0,17,82,1,,,,,,,,,100,0,0,100,0,0,100,0,0
2017,100706,9101,7583,6645,2456,72,10,4,4,4,0,1,2,1,5,44,19,7090,1352,810,4755,173,5903,1341,642,3899,21,1187,11,168,856,152,74,11,5,4,4,0,1,3,0,3,42,2011,742,1269,65,9,3,3,3,0,1,1,3,16,49,2839,1300,1539,1201,736,465,1638,564,1074,3,79,18,0,,,,,,,,,5,14,80,2,12,86,19,21,60
2017,100724,4760,4411,4191,569,4,91,1,1,1,0,0,1,1,1,63,23,4208,967,102,3120,19,3866,951,97,2818,0,342,16,5,302,19,2,94,1,0,0,0,0,1,1,1,62,552,325,227,20,74,1,2,2,0,0,1,0,3,72,743,357,386,431,253,178,312,104,208,1,90,8,0,593,369,5,0,61,38,1,0,8,7,85,8,6,86,11,11,78
2017,100751,38563,35344,33298,5265,77,11,5,1,1,0,0,3,1,3,56,22,33305,7407,1536,23444,918,29923,7385,1082,21355,101,3382,22,454,2089,817,78,10,5,1,1,0,0,3,0,2,56,5258,3375,1883,67,13,3,1,1,0,0,2,1,11,59,5970,2406,3564,2737,852,1885,3233,1554,1679,3,90,7,0,2406,4944,45,12,32,67,1,0,11,20,70,8,21,71,29,12,59
2017,100760,1835,1230,924,911,73,24,1,0,0,0,0,1,0,0,56,19,1835,393,78,933,431,924,349,51,518,6,911,44,27,415,425,73,24,1,0,0,0,0,1,0,0,56,0,0,0,,,,,,,,,,,,322,322,0,124,124,0,198,198,0,17,65,18,0,382,10,1,0,97,3,0,0,6,36,58,6,36,58,,,
2017,100812,3114,1990,1238,1876,76,14,3,1,1,0,2,2,3,0,66,0,2967,0,623,2178,166,1210,0,324,884,2,1757,0,299,1294,164,77,13,3,1,1,0,2,2,3,0,67,147,28,119,66,26,1,1,1,0,2,3,1,0,50,2028,1888,140,587,562,25,1441,1326,115,0,36,64,0,,,,,,,,,63,27,10,61,29,11,98,2,0
2017,100830,4894,4017,3449,1445,50,37,1,3,3,0,0,3,2,4,65,15,4313,652,485,3074,102,3239,627,370,2239,3,1074,25,115,835,99,50,38,1,3,3,0,0,3,1,4,64,581,210,371,46,31,1,2,2,0,0,0,10,9,67,1408,956,452,577,431,146,831,525,306,2,76,22,0,591,25,31,5,91,4,5,1,8,31,61,6,32,62,26,24,50
2017,100858,29776,26920,25158,4618,76,6,3,2,2,0,0,2,0,9,50,20,23964,4836,1173,17382,573,21762,4771,1073,15588,330,2202,65,100,1794,243,80,6,3,2,2,0,0,2,0,6,49,5812,3396,2416,62,7,3,2,2,0,0,1,0,23,53,4616,901,3715,2273,504,1769,2343,397,1946,1,96,4,0,2776,1990,70,0,57,41,1,0,4,17,79,1,19,80,20,6,74
2017,100937,1283,1276,1272,11,79,12,2,6,6,0,1,1,0,0,52,27,1283,349,26,908,0,1272,349,26,897,0,11,0,0,11,0,79,12,2,6,6,0,1,1,0,0,52,0,0,0,,,,,,,,,,,,16,16,0,12,12,0,4,4,0,0,99,1,0,195,149,5,0,56,43,1,0,0,0,100,0,0,100,,,
2017,101028,1424,1023,820,604,48,41,6,1,1,0,0,3,1,0,60,19,1424,341,225,804,54,820,276,111,429,4,604,65,114,375,50,48,41,6,1,1,0,0,3,1,0,60,0,0,0,,,,,,,,,,,,508,508,0,198,198,0,310,310,0,3,62,36,0,,,,,,,,,2,22,76,2,22,76,,,
2017,101073,389,372,361,28,3,90,1,0,0,0,0,0,0,5,51,51,389,205,49,135,0,361,200,41,120,0,28,5,8,15,0,3,90,1,0,0,0,0,0,0,5,51,0,0,0,,,,,,,,,,,,88,88,0,65,65,0,23,23,0,0,77,23,0,,,,,,,,,0,15,85,0,15,85,,,
2017,101116,453,351,287,166,25,70,2,1,1,0,0,0,2,0,72,2,369,9,53,307,0,286,8,34,244,0,83,1,19,63,0,28,66,2,1,1,0,0,0,2,0,73,84,1,83,15,83,0,0,0,0,1,0,0,0,70,308,229,79,178,177,1,130,52,78,0,38,62,0,,,,,,,,,0,32,68,0,30,70,0,40,60
2017,101143,1778,1200,908,870,69,20,5,2,2,0,1,3,1,0,47,17,1778,403,159,803,413,908,306,104,458,40,870,97,55,345,373,69,20,5,2,2,0,1,3,1,0,47,0,0,0,,,,,,,,,,,,425,425,0,210,210,0,215,215,0,18,58,24,0,385,13,0,5,96,3,0,1,12,25,63,12,25,63,,,
2017,101161,4968,3319,2486,2482,72,18,4,1,1,0,2,2,0,0,63,19,4968,1132,297,2672,867,2486,927,168,1365,26,2482,205,129,1307,841,72,18,4,1,1,0,2,2,0,0,63,0,0,0,,,,,,,,,,,,1118,1118,0,372,372,0,746,746,0,12,66,23,0,1096,36,0,0,97,3,0,0,1,14,84,1,14,84,,,
2017,101189,3350,2720,2314,1036,49,42,2,1,1,0,0,2,2,2,59,12,2672,333,549,1390,400,1744,311,344,1087,2,928,22,205,303,398,48,43,2,1,1,0,0,2,2,2,60,678,570,108,53,37,3,1,1,0,1,1,3,1,55,1657,1113,544,1149,709,440,508,404,104,15,43,42,0,239,83,11,0,72,25,3,0,30,21,49,23,24,53,56,10,34
2017,101240,4979,3309,2465,2514,71,19,4,1,1,0,1,2,0,2,59,18,4979,1104,372,2873,630,2465,888,207,1332,38,2514,216,165,1541,592,71,19,4,1,1,0,1,2,0,2,59,0,0,0,,,,,,,,,,,,1442,1442,0,556,556,0,886,886,0,8,62,29,0,1032,10,15,47,93,1,1,4,12,33,55,12,33,55,,,
2017,101277,83,83,83,0,88,2,10,0,0,0,0,0,0,0,96,37,83,31,0,52,0,83,31,0,52,0,0,0,0,0,0,88,2,10,0,0,0,0,0,0,0,96,0,0,0,,,,,,,,,,,,35,35,0,35,35,0,0,0,0,2,55,42,0,,,,,,,,,0,0,100,0,0,100,,,
2017,101286,4645,2841,1929,2716,66,28,3,1,1,0,0,2,0,0,65,15,4645,922,342,2572,809,1929,705,172,1029,23,2716,217,170,1543,786,66,28,3,1,1,0,0,2,0,0,65,0,0,0,,,,,,,,,,,,1411,1411,0,489,489,0,922,922,0,13,56,30,0,890,26,0,6,97,3,0,1,6,14,81,6,14,81,,,
2017,101295,5301,3476,2554,2747,84,6,5,1,1,0,1,0,2,1,64,19,5301,1303,371,3131,496,2554,1003,185,1293,73,2747,300,186,1838,423,84,6,5,1,1,0,1,0,2,1,64,0,0,0,,,,,,,,,,,,1336,1336,0,432,432,0,904,904,0,7,68,25,0,1281,22,0,0,98,2,0,0,12,32,56,12,32,56,,,
2017,101301,1471,1039,820,651,23,73,1,0,0,0,0,1,1,1,62,18,1471,282,85,850,254,820,266,44,507,3,651,16,41,343,251,23,73,1,0,0,0,0,1,1,1,62,0,0,0,,,,,,,,,,,,345,345,0,151,151,0,194,194,0,13,64,23,0,280,1,0,1,99,0,0,0,19,31,49,19,31,49,,,
2017,101365,551,369,251,300,29,60,3,0,0,0,0,4,4,0,73,1,537,51,82,404,0,247,8,8,231,0,290,43,74,173,0,29,59,3,0,0,0,0,4,4,0,73,14,4,10,14,71,0,0,0,0,0,7,7,0,64,421,407,14,196,192,4,225,215,10,0,24,76,0,,,,,,,,,32,2,66,30,2,68,100,0,0
2017,101435,1102,966,878,224,64,21,6,1,0,0,1,5,3,0,52,27,1102,294,53,752,3,878,294,47,537,0,224,0,6,215,3,64,21,6,1,0,0,1,5,3,0,52,0,0,0,,,,,,,,,,,,202,202,0,37,37,0,165,165,0,1,81,18,0,181,110,3,0,62,37,1,0,0,0,100,0,0,100,,,
2017,101453,89,55,33,56,81,6,3,0,0,0,2,3,2,2,4,17,59,13,9,37,0,26,10,3,13,0,33,3,6,24,0,81,7,3,0,0,0,0,5,3,0,5,30,7,23,80,3,3,0,0,0,7,0,0,7,3,57,30,27,14,9,5,43,21,22,3,46,51,0,,,,,,,,,15,56,29,10,53,37,23,63,13
2017,101462,752,496,366,386,36,52,2,1,1,0,1,5,0,2,51,12,752,125,113,447,67,366,90,48,226,2,386,35,65,221,65,36,52,2,1,1,0,1,5,0,2,51,0,0,0,,,,,,,,,,,,371,371,0,173,173,0,198,198,0,6,44,49,1,119,2,0,4,95,2,0,3,6,41,53,6,41,53,,,
2017,101471,449,389,359,90,39,59,1,0,0,0,1,0,0,0,24,45,449,262,11,176,0,359,202,10,147,0,90,60,1,29,0,39,59,1,0,0,0,1,0,0,0,24,0,0,0,,,,,,,,,,,,372,372,0,299,299,0,73,73,0,1,16,83,0,,,,,,,,,0,0,100,0,0,100,,,
2017,101480,8567,6855,5756,2811,71,19,1,1,1,0,1,0,6,2,58,15,7491,1147,683,4792,869,5523,1115,485,3818,105,1968,32,198,974,764,72,18,1,1,1,0,1,0,6,2,57,1076,233,843,67,24,1,0,0,0,1,0,2,4,66,2074,1198,876,739,578,161,1335,620,715,10,74,16,0,905,228,2,12,79,20,0,1,20,45,35,13,48,39,67,22,11
2017,101499,746,557,462,284,57,32,1,2,2,0,3,2,3,0,48,34,746,279,32,409,26,462,251,17,192,2,284,28,15,217,24,57,32,1,2,2,0,3,2,3,0,48,0,0,0,,,,,,,,,,,,302,302,0,173,173,0,129,129,0,2,57,41,0,252,27,0,0,90,10,0,0,1,17,82,1,17,82,,,
2017,101505,8840,4726,2647,6193,65,21,5,2,2,0,0,3,1,2,61,11,8840,1716,867,4469,1788,2647,983,343,1293,28,6193,733,524,3176,1760,65,21,5,2,2,0,0,3,1,2,61,0,0,0,,,,,,,,,,,,2439,2439,0,511,511,0,1928,1928,0,14,58,28,0,1601,29,4,82,93,2,0,5,16,22,61,16,22,61,,,
2017,101514,9861,5507,3307,6554,67,17,5,3,2,0,1,4,1,1,53,11,9861,1961,659,5627,1614,3307,1072,267,1875,93,6554,889,392,3752,1521,67,17,5,3,2,0,1,4,1,1,53,0,0,0,,,,,,,,,,,,3145,3145,0,745,745,0,2400,2400,0,8,60,32,0,1907,33,0,21,97,2,0,1,19,26,55,19,26,55,,,
2017,101541,315,263,230,85,72,20,3,2,2,0,1,1,2,0,98,21,315,79,27,209,0,230,65,8,157,0,85,14,19,52,0,72,20,3,2,2,0,1,1,2,0,98,0,0,0,,,,,,,,,,,,83,83,0,15,15,0,68,68,0,0,73,27,0,,,,,,,,,11,7,81,11,7,81,,,
2017,101569,3248,2237,1726,1522,15,81,2,1,1,0,0,1,0,0,59,22,3248,912,341,1781,214,1726,715,162,848,1,1522,197,179,933,213,15,81,2,1,1,0,0,1,0,0,59,0,0,0,,,,,,,,,,,,991,991,0,332,332,0,659,659,0,4,65,31,1,884,22,2,4,97,2,0,0,7,20,73,7,20,73,,,
2017,101587,4646,4395,4235,411,51,38,1,0,0,0,1,2,4,3,69,22,2111,461,271,1374,5,1843,460,253,1130,0,268,1,18,244,5,42,44,2,0,0,0,0,3,3,5,55,2535,2392,143,58,33,1,0,0,0,1,1,5,1,81,2630,321,2309,2417,231,2186,213,90,123,1,83,15,0,,,,,,,,,49,4,47,12,7,81,80,2,18
2017,101602,1838,1253,957,881,73,21,2,0,0,0,1,2,0,0,57,23,1838,465,89,800,484,957,415,63,473,6,881,50,26,327,478,73,21,2,0,0,0,1,2,0,0,57,0,0,0,,,,,,,,,,,,333,333,0,139,139,0,194,194,0,19,63,18,0,443,22,0,0,95,5,0,0,5,34,61,5,34,61,,,
2017,101648,446,443,442,4,65,17,6,4,3,1,1,6,0,0,23,63,446,281,21,142,2,442,281,20,141,0,4,0,1,1,2,65,17,6,4,3,1,1,6,0,0,23,0,0,0,,,,,,,,,,,,2,2,0,0,0,0,2,2,0,0,99,0,0,125,155,0,1,44,55,0,0,0,0,100,0,0,100,,,
2017,101675,1650,1592,1555,95,2,96,1,0,0,0,0,1,0,0,49,19,1650,309,128,1210,3,1555,307,111,1137,0,95,2,17,73,3,2,96,1,0,0,0,0,1,0,0,49,0,0,0,,,,,,,,,,,,247,247,0,196,196,0,51,51,0,0,85,15,0,,,,,,,,,1,0,98,1,0,98,,,
2017,101693,1604,1371,1222,382,54,20,2,4,1,2,1,5,12,3,66,16,1443,228,126,922,167,1152,227,121,804,0,291,1,5,118,167,56,16,2,4,1,3,1,6,12,3,64,161,70,91,37,49,1,0,0,0,1,1,9,1,82,386,253,133,232,171,61,154,82,72,12,71,18,0,,,,,,,,,9,43,48,7,44,49,27,36,37
2017,101709,2717,2434,2258,459,70,16,5,1,1,0,0,3,3,2,69,21,2346,487,148,1694,17,2101,482,134,1483,2,245,5,14,211,15,68,16,5,1,1,0,0,3,3,2,67,371,157,214,77,14,3,0,0,0,0,2,4,1,77,454,205,249,187,120,67,267,85,182,1,90,9,0,,,,,,,,,0,15,85,0,7,93,0,69,31
2017,101736,3440,2109,1436,2004,82,8,6,0,0,0,1,0,2,1,59,20,3440,813,101,1784,742,1436,677,47,707,5,2004,136,54,1077,737,82,8,6,0,0,0,1,0,2,1,59,0,0,0,,,,,,,,,,,,664,664,0,188,188,0,476,476,0,15,65,19,0,758,8,0,47,93,1,0,6,7,19,73,7,19,73,,,
2017,101879,7204,6106,5424,1780,73,15,3,1,1,0,1,2,2,3,60,18,6064,1128,598,4045,293,5141,1108,501,3511,21,923,20,97,534,272,73,15,3,1,1,0,1,3,2,3,60,1140,283,857,73,13,2,1,1,0,1,2,1,6,60,1592,653,939,530,341,189,1062,312,750,4,85,11,0,,,,,,,,,16,36,49,5,40,55,72,13,15
2017,101897,2736,1730,1222,1514,83,2,10,1,0,0,3,1,0,0,61,18,2736,623,85,1275,753,1222,496,48,654,24,1514,127,37,621,729,83,2,10,1,0,0,3,1,0,0,61,0,0,0,,,,,,,,,,,,553,553,0,221,221,0,332,332,0,22,58,20,0,615,7,0,1,99,1,0,0,14,37,48,14,37,48,,,
2017,101912,1711,1628,1575,136,1,82,4,1,1,0,1,0,5,6,58,22,1650,368,64,1191,27,1521,366,61,1093,1,129,2,3,98,26,1,83,4,0,0,0,1,0,5,6,58,61,54,7,16,54,10,7,7,0,0,0,8,5,57,296,246,50,217,173,44,79,73,6,1,84,15,0,55,285,22,6,15,77,6,2,2,4,94,0,3,97,59,30,11
2017,101949,982,688,539,443,57,38,1,0,0,0,1,2,2,0,50,27,982,300,30,435,217,539,267,17,255,0,443,33,13,180,217,57,38,1,0,0,0,1,2,2,0,50,0,0,0,,,,,,,,,,,,105,105,0,32,32,0,73,73,0,14,75,11,0,281,18,0,1,94,6,0,0,0,17,83,0,17,83,,,
2017,101994,392,252,181,211,48,49,1,0,0,0,0,1,0,0,56,14,392,62,58,165,107,181,55,39,87,0,211,7,19,78,107,48,49,1,0,0,0,0,1,0,0,56,0,0,0,,,,,,,,,,,,131,131,0,65,65,0,66,66,0,21,45,33,0,,,,,,,,,0,0,100,0,0,100,,,
2017,102030,3233,2120,1557,1676,29,61,2,2,2,0,1,1,0,2,60,20,3233,812,288,1523,610,1557,647,172,733,5,1676,165,116,790,605,29,61,2,2,2,0,1,1,0,2,60,0,0,0,,,,,,,,,,,,1007,1007,0,459,459,0,548,548,0,14,54,31,1,773,22,8,9,95,3,1,1,3,16,81,3,16,81,,,
2017,102049,5509,5313,5190,319,81,10,3,1,1,0,0,2,1,2,65,25,3373,857,127,2380,9,3266,857,109,2297,3,107,0,18,83,6,84,7,3,1,1,0,0,2,1,2,66,2136,1924,212,75,15,2,2,2,0,1,2,3,1,64,1372,139,1233,1120,85,1035,252,54,198,1,95,4,0,,,,,,,,,14,15,71,1,17,82,34,12,54
2017,102058,324,269,234,90,2,97,1,0,0,0,0,0,0,0,56,16,311,55,136,120,0,230,50,106,74,0,81,5,30,46,0,2,97,1,0,0,0,0,0,0,0,57,13,4,9,0,100,0,0,0,0,0,0,0,0,38,173,165,8,105,105,0,68,60,8,0,44,53,3,53,2,0,0,96,4,0,0,0,0,100,0,0,100,0,0,100
2017,102067,4607,2936,2092,2515,56,37,0,1,1,0,0,2,3,1,57,17,4607,1168,258,2804,377,2092,795,123,1144,30,2515,373,135,1660,347,56,37,0,1,1,0,0,2,3,1,57,0,0,0,,,,,,,,,,,,972,972,0,279,279,0,693,693,0,3,76,21,0,1095,34,2,37,94,3,0,3,10,19,71,10,19,71,,,
2017,102076,2220,1582,1259,961,74,8,12,1,1,0,3,0,1,1,63,24,2220,608,145,1138,329,1259,539,66,647,7,961,69,79,491,322,74,8,12,1,1,0,3,0,1,1,63,0,0,0,,,,,,,,,,,,485,485,0,183,183,0,302,302,0,7,71,22,0,,,,,,,,,28,47,25,28,47,25,,,
2017,102094,15569,13823,12709,2860,62,21,3,4,3,0,1,3,3,5,63,17,10988,1886,779,8047,276,9090,1870,660,6546,14,1898,16,119,1501,262,59,22,3,3,3,0,1,3,2,6,57,4581,3619,962,67,17,3,4,4,0,1,2,4,2,78,5512,1740,3772,3857,991,2866,1655,749,906,3,81,16,0,1478,384,24,0,78,20,1,0,22,23,55,3,31,66,67,4,28
2017,102234,1485,1413,1369,116,68,16,2,1,1,0,1,5,3,4,62,29,1377,395,42,938,2,1363,395,42,926,0,14,0,0,12,2,68,16,2,1,1,0,1,5,3,4,63,108,6,102,68,17,3,2,1,1,1,1,2,7,46,108,20,88,18,14,4,90,6,84,1,98,1,0,187,198,10,0,47,50,3,0,3,2,95,0,1,99,45,6,48
2017,102270,677,601,552,125,6,87,2,0,0,0,0,1,4,0,56,17,677,163,78,392,44,552,118,70,364,0,125,45,8,28,44,6,87,2,0,0,0,0,1,4,0,56,0,0,0,,,,,,,,,,,,76,76,0,58,58,0,18,18,0,4,84,11,0,111,52,0,0,68,32,0,0,9,56,35,9,56,35,,,
2017,102298,782,770,762,20,2,87,5,0,0,0,0,2,2,2,47,20,782,160,68,554,0,762,157,67,538,0,20,3,1,16,0,2,87,5,0,0,0,0,2,2,2,47,0,0,0,,,,,,,,,,,,81,81,0,73,73,0,8,8,0,1,89,10,0,49,104,1,6,31,65,1,4,12,88,0,12,88,0,,,
2017,102313,1845,1169,827,1018,29,68,2,1,1,0,0,0,0,0,53,16,1845,441,261,908,235,827,289,118,420,0,1018,152,143,488,235,29,68,2,1,1,0,0,0,0,0,53,0,0,0,,,,,,,,,,,,548,548,0,231,231,0,317,317,0,10,60,30,0,436,3,0,2,99,1,0,0,2,16,82,2,16,82,,,
2017,102368,17521,13333,10665,6856,48,29,3,1,1,0,0,3,12,5,61,14,14000,2161,1496,9977,366,9491,1899,902,6671,19,4509,262,594,3306,347,53,30,4,1,1,0,0,3,4,5,60,3521,1174,2347,24,26,2,1,1,0,0,1,40,5,67,7571,4764,2807,2648,1863,785,4923,2901,2022,12,54,34,0,1568,529,64,0,73,24,3,0,37,12,51,33,13,54,54,9,38
2017,102377,3289,3181,3113,176,1,80,1,1,1,0,0,0,17,0,62,26,2833,749,94,1990,0,2722,748,94,1880,0,111,1,0,110,0,1,80,1,1,1,0,0,0,17,0,63,456,391,65,1,79,2,3,3,0,1,0,14,0,58,581,280,301,479,226,253,102,54,48,0,90,10,0,,,,,,,,,0,0,100,0,0,100,1,0,99
2017,102395,242,129,58,184,51,16,7,1,0,1,0,17,8,0,33,0,103,0,12,76,15,15,0,1,14,0,88,0,11,62,15,63,13,10,1,0,1,0,3,11,0,28,139,43,96,42,18,5,1,1,1,0,28,6,0,36,209,82,127,52,12,40,157,70,87,0,19,80,1,,,,,,,,,100,0,0,100,0,0,99,0,1
2017,102429,3872,2352,1583,2289,81,15,2,0,0,0,0,1,1,0,59,17,3872,820,283,1926,843,1583,646,135,799,3,2289,174,148,1127,840,81,15,2,0,0,0,0,1,1,0,59,0,0,0,,,,,,,,,,,,884,884,0,225,225,0,659,659,0,16,61,23,0,,,,,,,,,8,20,72,8,20,72,,,
2017,102553,15733,10596,7162,8571,56,3,8,8,8,1,6,10,6,2,58,9,14955,1877,680,8775,3623,6974,1344,367,4699,564,7981,533,313,4076,3059,56,3,8,9,8,1,6,11,6,2,58,778,188,590,67,2,6,5,4,1,6,7,3,3,66,6858,6152,706,2036,1886,150,4822,4266,556,7,51,41,1,1727,84,61,5,92,4,3,0,17,31,51,16,32,52,49,15,36
2017,102580,42,33,28,14,79,0,2,2,2,0,2,5,5,5,36,17,42,7,0,24,11,28,7,0,19,2,14,0,0,5,9,79,0,2,2,2,0,2,5,5,5,36,0,0,0,,,,,,,,,,,,17,17,0,10,10,0,7,7,0,7,50,40,2,,,,,,,,,5,0,95,5,0,95,,,
2017,102614,7664,5158,3501,4163,52,2,6,3,2,0,13,7,15,3,58,10,6639,804,378,3728,1729,3022,638,222,2072,90,3617,166,156,1656,1639,50,2,7,3,2,0,14,7,15,2,58,1025,479,546,58,1,4,3,2,0,5,5,14,11,60,3797,2938,859,1073,718,355,2724,2220,504,5,50,44,1,708,80,13,3,88,10,2,0,33,25,42,29,25,46,57,28,15
2017,102632,2342,1359,708,1634,52,1,6,4,3,1,12,8,16,1,68,8,2060,193,168,853,846,629,155,73,345,56,1431,38,95,508,790,51,1,6,5,3,1,12,8,16,1,66,282,79,203,59,1,6,1,1,0,7,6,18,2,77,1360,1095,265,260,192,68,1100,903,197,7,38,53,2,179,10,4,0,93,5,2,0,54,16,29,52,16,32,75,19,6
2017,102669,509,344,240,269,45,4,5,3,2,1,19,12,12,0,65,11,296,35,47,165,49,203,32,26,123,22,93,3,21,42,27,48,4,5,3,2,1,17,14,9,0,65,213,37,176,41,3,4,4,3,1,22,9,15,0,64,323,129,194,91,60,31,232,69,163,10,46,44,0,,,,,,,,,12,17,72,20,28,52,0,1,99
2017,102711,967,443,178,789,51,1,3,2,1,1,18,5,21,0,13,15,967,856,0,111,0,178,143,0,35,0,789,713,0,76,0,51,1,3,2,1,1,18,5,21,0,13,0,0,0,,,,,,,,,,,,624,624,0,70,70,0,554,554,0,1,32,65,3,,,,,,,,,0,0,100,0,0,100,,,
2017,102845,2664,2664,2664,0,40,6,25,6,0,5,13,5,6,0,76,39,2660,1025,30,1585,20,2660,1025,30,1585,20,0,0,0,0,0,40,6,25,6,0,5,13,5,6,0,76,4,4,0,50,0,25,25,25,0,0,0,0,0,75,1619,1615,4,1619,1615,4,0,0,0,0,39,61,0,,,,,,,,,24,69,7,24,69,7,100,0,0
2017,103501,430,430,430,0,34,10,12,23,22,1,14,5,1,0,85,59,430,255,0,175,0,430,255,0,175,0,0,0,0,0,0,34,10,12,23,22,1,14,5,1,0,85,0,0,0,,,,,,,,,,,,231,231,0,231,231,0,0,0,0,1,46,54,0,,,,,,,,,0,0,100,0,0,100,,,
2017,103741,118,101,90,28,25,13,46,0,0,0,3,5,9,0,91,33,118,48,0,70,0,90,39,0,51,0,28,9,0,19,0,25,13,46,0,0,0,3,5,9,0,91,0,0,0,,,,,,,,,,,,44,44,0,27,27,0,17,17,0,0,63,37,0,,,,,,,,,0,0,100,0,0,100,,,
2017,103778,327,306,294,33,36,5,15,6,5,1,1,3,1,34,43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,327,294,33,36,5,15,6,5,1,1,3,1,34,43,242,0,242,210,0,210,32,0,32,,,,,,,,,,,,,0,0,100,,,,0,0,100
