survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2016,100654,5859,5354,5040,819,4,90,1,1,0,0,0,4,0,1,59,29,4851,1448,210,2958,235,4436,1410,183,2618,225,415,38,27,340,10,2,91,1,0,0,0,0,4,0,1,57,1008,604,404,13,81,1,1,1,0,0,1,0,3,69,,,,,,,,,,,,,,884,547,0,17,61,38,0,1,1,15,84,1,17,82,2,6,92
2016,100663,19535,15309,12691,6844,61,21,3,6,6,0,0,3,1,4,61,16,12369,2021,1598,8428,322,8971,1948,965,6028,30,3398,73,633,2400,292,58,26,3,6,6,0,0,4,1,2,59,7166,3720,3446,66,14,3,5,5,0,0,3,2,7,65,,,,,,,,,,,,,,1712,262,47,0,85,13,2,0,23,30,47,14,41,45,37,11,52
2016,100690,597,363,216,381,21,25,1,0,0,0,0,0,53,0,61,1,294,23,43,227,1,135,3,25,107,0,159,20,18,120,1,16,23,1,0,0,0,0,0,60,0,61,303,81,222,26,26,0,0,0,0,0,0,47,0,61,531,244,287,190,113,77,341,131,210,0,16,83,1,19,4,0,0,83,17,0,0,100,0,0,100,0,0,100,0,0
2016,100706,8468,6956,6017,2451,70,11,4,4,4,0,1,2,3,6,43,18,6507,1213,777,4356,161,5257,1203,635,3400,19,1250,10,142,956,142,71,11,4,4,4,0,1,2,3,3,42,1961,760,1201,64,8,3,3,3,0,1,1,4,16,46,,,,,,,,,,,,,,861,323,29,0,71,27,2,0,5,11,84,1,8,91,21,19,60
2016,100724,5318,4935,4694,624,3,91,1,1,1,0,0,1,1,2,63,24,4727,1163,154,3387,23,4368,1143,144,3075,6,359,20,10,312,17,1,93,1,0,0,0,0,1,1,2,62,591,326,265,20,73,1,2,2,0,0,1,1,3,72,853,415,438,508,317,191,345,98,247,1,90,9,0,662,487,14,0,57,42,1,0,7,5,88,6,5,89,13,6,80
2016,100751,37663,34500,32488,5175,77,11,4,1,1,0,0,3,0,3,56,23,32563,7559,1478,22626,900,29220,7541,1086,20444,149,3343,18,392,2182,751,78,10,4,1,1,0,0,3,0,2,56,5100,3268,1832,67,13,3,2,2,0,1,2,1,11,58,6037,2514,3523,2753,899,1854,3284,1615,1669,3,89,8,0,2412,5073,58,16,32,67,1,0,10,18,73,7,19,74,26,12,63
2016,100760,1769,1216,937,832,72,25,1,0,0,0,0,1,1,0,57,19,1769,385,92,1015,277,937,337,62,536,2,832,48,30,479,275,72,25,1,0,0,0,0,1,1,0,57,0,0,0,,,,,,,,,,,,384,384,0,146,146,0,238,238,0,12,66,22,0,374,9,2,0,97,2,1,0,7,33,60,7,33,60,,,
2016,100812,3063,1961,1217,1846,77,13,2,1,1,0,1,2,3,0,66,0,3025,0,776,2112,137,1212,0,407,801,4,1813,0,369,1311,133,77,13,2,1,1,0,1,2,3,0,66,38,5,33,84,8,0,3,3,0,0,5,0,0,39,,,,,,,,,,,,,,,,,,,,,,56,34,10,56,34,10,97,3,0
2016,100830,4878,3919,3298,1580,50,34,1,2,2,0,1,4,3,5,65,13,4273,594,463,3114,102,3095,558,354,2178,5,1178,36,109,936,97,51,36,1,3,2,0,1,4,1,4,64,605,203,402,43,25,0,1,1,0,0,1,21,9,68,1427,958,469,532,401,131,895,557,338,1,76,22,0,555,35,2,2,93,6,0,0,7,27,66,4,28,68,25,21,54
2016,100858,28290,25380,23582,4708,77,7,3,3,2,0,0,1,1,8,49,20,22658,4529,1226,16340,563,20396,4487,1124,14649,136,2262,42,102,1691,427,81,7,3,2,2,0,1,1,1,5,49,5632,3186,2446,63,8,3,3,3,0,0,1,0,21,52,4496,855,3641,2100,498,1602,2396,357,2039,1,96,4,0,2687,1765,77,0,59,39,2,0,4,15,81,0,17,82,19,6,75
