survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2015,100654,5627,4863,4380,1247,5,90,1,0,0,0,0,2,0,1,57,27,4503,1387,181,2780,155,3731,1222,142,2252,115,772,165,39,528,40,3,92,1,0,0,0,0,2,0,1,54,1124,649,475,12,81,1,1,1,0,0,1,0,3,71,1121,385,736,592,235,357,529,150,379,3,88,9,0,,,,,,,,,1,15,85,1,17,82,1,5,94
2015,100663,18333,14305,11812,6521,62,21,3,6,6,0,0,3,1,4,61,14,11511,1621,1357,8291,242,8297,1593,837,5829,38,3214,28,520,2462,204,59,25,3,6,6,0,0,4,1,2,59,6822,3515,3307,68,14,3,5,5,0,0,2,1,6,64,7748,2714,5034,2956,867,2089,4792,1847,2945,1,76,24,0,,,,,,,,,20,47,33,12,49,39,34,44,22
2015,100690,627,376,217,410,28,35,1,0,0,0,0,0,35,0,59,5,308,34,43,231,0,132,16,24,92,0,176,18,19,139,0,21,34,2,0,0,0,0,0,43,0,57,319,85,234,35,36,0,0,0,0,0,0,29,0,61,567,262,305,190,109,81,377,153,224,0,14,85,1,,,,,,,,,100,0,0,100,0,0,100,0,0
2015,100706,7866,6396,5482,2384,69,11,4,4,4,0,1,2,3,6,43,17,6013,1038,717,4074,184,4774,1027,605,3083,59,1239,11,112,991,125,70,12,4,4,4,0,1,2,3,4,43,1853,708,1145,66,9,2,3,3,0,1,1,4,15,45,2784,1350,1434,1144,710,434,1640,640,1000,2,75,22,0,,,,,,,,,5,7,88,0,5,94,19,14,67
2015,100724,5383,4943,4668,715,4,90,1,1,1,0,0,1,1,2,63,21,4764,1021,143,3576,24,4377,1008,132,3237,0,387,13,11,339,24,2,93,1,0,0,0,0,1,1,2,62,619,291,328,19,73,1,2,2,0,0,1,1,2,69,938,464,474,501,327,174,437,137,300,2,89,10,0,590,425,6,0,58,42,1,0,6,7,87,4,6,90,20,9,71
2015,100751,37098,33987,32010,5088,76,11,4,1,1,0,0,3,0,4,55,22,31958,7211,1567,22227,953,28689,7176,1167,20104,242,3269,35,400,2123,711,77,11,4,1,1,0,0,3,0,3,55,5140,3321,1819,69,12,4,2,2,0,0,2,1,10,58,6118,2575,3543,2798,919,1879,3320,1656,1664,3,89,8,0,2508,4596,94,13,35,64,1,0,9,17,74,7,18,75,24,11,65
2015,100760,1787,1245,971,816,73,24,1,0,0,0,0,0,0,0,55,22,1787,441,71,1034,241,971,392,39,536,4,816,49,32,498,237,73,24,1,0,0,0,0,0,0,0,55,0,0,0,,,,,,,,,,,,468,468,0,173,173,0,295,295,0,7,67,26,0,433,8,0,0,98,2,0,0,5,30,65,5,30,65,,,
2015,100812,3041,1958,1226,1815,78,12,2,1,1,0,1,2,3,1,65,0,3041,0,683,2221,137,1226,0,370,856,0,1815,0,313,1365,137,78,12,2,1,1,0,1,2,3,1,65,0,0,0,,,,,,,,,,,,2056,2056,0,641,641,0,1415,1415,0,0,32,68,0,,,,,,,,,55,34,11,55,34,11,,,
2015,100830,4919,3935,3300,1619,51,33,1,2,2,0,1,3,6,4,65,13,4257,620,449,3073,115,3083,568,330,2180,5,1174,52,119,893,110,54,35,1,3,2,0,0,3,1,4,64,662,217,445,33,21,1,1,1,0,1,1,34,9,67,1481,953,528,559,419,140,922,534,388,1,77,22,0,577,23,20,0,93,4,3,0,6,26,68,4,27,70,22,20,58
2015,100858,27287,24582,22915,4372,80,7,3,2,2,0,1,1,1,6,50,22,21786,4899,1250,15402,235,19738,4854,1128,13643,113,2048,45,122,1759,122,83,7,3,2,2,0,1,1,1,2,49,5501,3177,2324,64,8,2,2,2,0,0,1,0,20,52,4486,928,3558,2151,533,1618,2335,395,1940,1,95,4,0,2912,1927,58,2,59,39,1,0,4,12,84,0,14,86,19,6,75
2015,100937,1346,1341,1337,9,79,11,2,5,5,0,1,1,0,0,50,33,1346,441,23,882,0,1337,441,23,873,0,9,0,0,9,0,79,11,2,5,5,0,1,1,0,0,50,0,0,0,,,,,,,,,,,,18,18,0,16,16,0,2,2,0,0,98,1,0,,,,,,,,,0,0,100,0,0,100,,,
2015,101028,1665,1193,954,711,48,43,5,2,1,1,0,2,1,0,61,19,1665,384,286,896,99,954,312,152,489,1,711,72,134,407,98,48,43,5,2,1,1,0,2,1,0,61,0,0,0,,,,,,,,,,,,598,598,0,247,247,0,351,351,0,4,60,36,0,290,93,0,1,76,24,0,0,2,17,81,2,17,81,,,
2015,101073,487,465,450,37,2,93,2,0,0,0,0,0,0,2,39,21,487,105,48,226,108,450,101,43,200,106,37,4,5,26,2,2,93,2,0,0,0,0,0,0,2,39,0,0,0,,,,,,,,,,,,62,62,0,51,51,0,11,11,0,0,86,14,0,,,,,,,,,0,35,65,0,35,65,,,
2015,101116,581,435,342,239,30,62,2,2,1,1,1,0,2,0,75,7,460,34,100,326,0,337,31,72,234,0,123,3,28,92,0,33,59,2,2,2,1,1,0,2,0,75,121,5,116,21,75,2,1,1,0,1,0,1,0,74,391,281,110,205,201,4,186,80,106,0,39,61,0,,,,,,,,,0,32,68,0,30,70,0,40,60
2015,101143,1882,1265,953,929,66,22,5,2,2,0,1,3,0,0,47,16,1882,395,175,958,354,953,293,105,508,47,929,102,70,450,307,66,22,5,2,2,0,1,3,0,0,47,0,0,0,,,,,,,,,,,,541,541,0,240,240,0,301,301,0,13,58,29,0,370,16,0,9,94,4,0,2,10,25,65,10,25,65,,,
2015,101161,4580,3261,2595,1985,70,22,3,1,1,0,2,2,0,0,62,24,4580,1300,526,2546,208,2595,1078,302,1206,9,1985,222,224,1340,199,70,22,3,1,1,0,2,2,0,0,62,0,0,0,,,,,,,,,,,,1175,1175,0,434,434,0,741,741,0,3,71,26,0,1197,53,0,50,92,4,0,4,5,37,58,5,37,58,,,
2015,101189,3262,2727,2383,879,46,45,2,1,0,0,1,2,2,2,61,11,2564,297,481,1504,282,1771,280,345,1145,1,793,17,136,359,281,45,46,2,1,0,0,1,2,2,2,61,698,612,86,47,43,2,1,1,0,2,1,2,1,60,1659,1113,546,1168,707,461,491,406,85,11,45,43,0,234,53,10,0,79,18,3,0,20,27,53,14,29,56,43,17,40
