survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2020,459286,207,199,194,13,41,12,8,1,1,0,0,0,38,0,82,7,207,14,0,193,0,194,14,0,180,0,13,0,0,13,0,41,12,8,1,1,0,0,0,38,0,82,0,0,0,,,,,,,,,,,,100,100,0,92,92,0,8,8,0,0,52,48,0,14,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459295,84,65,53,31,61,8,14,5,4,1,0,10,2,0,92,37,84,49,0,35,0,53,31,0,22,0,31,18,0,13,0,61,8,14,5,4,1,0,10,2,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,46,0,0,3,94,0,0,6,0,0,100,0,0,100,,,
2020,459301,114,103,95,19,46,41,11,0,0,0,0,1,1,1,94,11,114,13,0,101,0,95,13,0,82,0,19,0,0,19,0,46,41,11,0,0,0,0,1,1,1,94,0,0,0,,,,,,,,,,,,45,45,0,36,36,0,9,9,0,0,61,39,0,11,2,0,0,85,15,0,0,0,0,100,0,0,100,,,
2020,459310,105,105,105,0,2,12,84,1,1,0,1,0,0,0,83,13,105,14,12,79,0,105,14,12,79,0,0,0,0,0,0,2,12,84,1,1,0,1,0,0,0,83,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,1,93,0,0,7,0,0,100,0,0,100,,,
2020,459329,217,206,201,16,74,3,19,2,2,0,0,1,0,0,41,62,217,140,0,77,0,201,135,0,66,0,16,5,0,11,0,74,3,19,2,2,0,0,1,0,0,41,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,140,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459347,110,52,13,97,73,5,17,1,1,0,1,3,0,0,98,11,110,34,0,76,0,13,12,0,1,0,97,22,0,75,0,73,5,17,1,1,0,1,3,0,0,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459374,155,95,56,99,48,19,25,3,3,0,1,4,0,0,99,14,155,58,0,97,0,56,22,0,34,0,99,36,0,63,0,48,19,25,3,3,0,1,4,0,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,57,1,0,0,98,2,0,0,0,0,100,0,0,100,,,
2020,459392,163,126,102,61,91,4,2,1,0,1,1,1,0,0,99,10,163,25,0,138,0,102,17,0,85,0,61,8,0,53,0,91,4,2,1,0,1,1,1,0,0,99,0,0,0,,,,,,,,,,,,41,41,0,19,19,0,22,22,0,2,73,25,0,17,8,0,0,68,32,0,0,0,0,100,0,0,100,,,
2020,459408,50,27,16,34,64,30,6,0,0,0,0,0,0,0,96,8,50,19,0,31,0,16,4,0,12,0,34,15,0,19,0,64,30,6,0,0,0,0,0,0,0,96,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,1,79,16,0,5,0,0,100,0,0,100,,,
2020,459417,72,64,59,13,75,1,13,3,3,0,0,6,3,0,24,15,72,11,4,57,0,59,11,4,44,0,13,0,0,13,0,75,1,13,3,3,0,0,6,3,0,24,0,0,0,,,,,,,,,,,,5,5,0,4,4,0,1,1,0,0,93,7,0,11,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459426,130,130,130,0,72,5,15,5,5,0,0,1,2,0,97,79,130,103,0,27,0,130,103,0,27,0,0,0,0,0,0,72,5,15,5,5,0,0,1,2,0,97,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,98,5,0,0,95,5,0,0,0,0,100,0,0,100,,,
2020,459462,282,282,282,0,15,46,23,1,1,0,2,9,4,0,13,23,282,66,0,216,0,282,66,0,216,0,0,0,0,0,0,15,46,23,1,1,0,2,9,4,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,47,18,0,1,71,27,0,2,0,0,100,0,0,100,,,
