UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C142,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E122,F1E13,F1E131,F1E132,F1E14,F1E141,F1E142,F1E15,F1E151,F1E152,F1E16,F1E161,F1E162,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07
218061,46047092,87012960,50090071,137103031,183150123,22724868,933422,7249815,8183237,7695781,110100186,117795967,125979204,29545799,78383757,58066277,200000,-86300046,50349988,17320156,0,142835641,6842002,6162281,173160080,86662039,514919,0,85092172,81496071,3596101,46753887,0,50349988,18975093,3381971,10466369,193600,107500,86100,783832,0,1792352,0,600141,36193358,0,25857311,0,12596132,0,0,2386330,0,22941,40862714,77056072,8000000,36100,0,0,8036100,85092172,37539811,20117240,346965,173941,2492327,1063660,7462269,2798642,8417724,3289656,10317810,4256537,8758766,436352,11080,0,0,0,0,5724047,0,81496071,31710756,10916705,15316803,4133827,377910,19040070,1,3326558,57546379,3193055,7706100,1,1972629,50138033,25622750,15018768,7815161,4268474,10035929,0,1250627,3700279,27070470,18311704,0,18311704,8758766,6037752,6037752,0,695588,695588,0,7753448,7753448,0,0,0,0,966195,966195,0,2858721,2858721,0,1,42522430,44552865,2030435,9321225,-4946393,-1483750,-860647,-3932785,92055759,5589319,215482582,125574720,23816778,87988544
218113,119382460,93866528,58113848,151980376,271362836,32098972,470914,21768977,22239891,56415346,165811637,222226983,244466874,52134218,120813664,39177734,0,-153130682,6860716,25525751,0,175219367,25353646,27915833,254014597,115677767,0,0,126872518,113719544,13152974,-5556736,-735522,6860716,14577398,22857228,19612909,0,0,0,4329473,0,492158,0,5943365,67812531,0,23096035,12381951,18039087,0,0,1106937,3133350,0,57757360,125569891,1297627,5000,0,0,1302627,126872518,58549875,28434336,0,0,0,0,11191469,4983136,11613779,5569160,17605107,8093090,12238173,6421216,351757,0,0,0,0,-3900075,0,113719544,47431479,15467043,12337826,6659121,1842019,29982056,1,-3694084,83663730,4384984,11326920,1,-205991,68919441,35684759,20772052,17065739,15411148,19320718,0,2833736,0,54631341,41438092,955076,42393168,12238173,13967262,13652593,314669,12613081,12328921,284160,15812825,15456578,356247,0,0,0,0,0,0,0,0,0,1,20497785,19085637,-1412148,1583126,-2247649,0,-747625,9156415,135134867,10615683,189918200,24733025,67448373,125978452
218140,71482094,80340097,45179226,125519323,197001417,17747784,264130,11277080,11541210,667787,84918816,85586603,97127813,17347531,86050934,36655077,0,-22432154,100273857,21115440,0,105699228,19620596,90786,146526050,60173173,629974,0,91099826,84606215,6493611,88574142,5206104,100273857,18257044,5916372,14639076,0,0,0,317488,,255662,,180191,39565833,0,16545244,4965000,16585534,3613895,0,785940,185767,260583,42941963,82507796,0,8426149,0,165881,8592030,91099826,36080971,17297010,0,0,0,0,6286595,2718771,7402382,3272525,19033268,3482910,15876888,77529,0,,,,,-151418,0,84606215,26771216,10800869,7087415,5986297,28530,33931888,1,-776513,45755927,894536,6098869,1,625094,37523485,16452995,11648915,15396460,3265928,14552106,458159,2299008,0,35971661,20094773,0,20094773,15876888,7696468,7696468,0,3835905,3835905,0,7109465,7109465,0,1452935,1452935,0,0,0,0,0,0,0,1,5747182,6838230,1091048,0,1091048,0,0,-2251492,84884332,6116253,192351445,76018652,931917,87135824
218229,37874921,62543721,7617949,70161670,108036591,29429248,2060213,6305725,8365938,10685445,111711504,122396949,130762887,19050599,44218911,27897856,0,-84464414,-12347647,20521168,0,116211330,7449761,4414846,148597105,80926514,0,2474733,87363172,81607521,5755651,-34206061,16102763,-12347647,14505911,479253,12813179,0,0,0,18519014,0,993945,0,486652,47797954,0,16048293,0,7937966,0,0,1258411,97970,14482,25357122,73155076,14208096,0,0,0,14208096,87363172,22229861,14743684,887,0,456501,151068,3651798,1791608,12871765,7053069,15465318,5134488,2140632,11002693,893031,0,0,0,0,13788066,3942541,81607521,33709489,17280069,6479195,6250747,728391,17159630,1,1689709,8613332,263471,10820924,1,2083782,-13839123,18787128,18608324,7637438,295313,12474008,0,2659161,8756614,31822534,29681902,0,29681902,2140632,7637438,7637438,0,295313,295313,0,12474008,12474008,0,0,0,0,821196,821196,0,8453947,8453947,0,1,21326094,23149821,1823727,744543,2086850,-1075668,68002,-8452444,87363172,-8452444,-12347647,27849798,45058,81607521
218335,593478116,320682740,278911093,599593833,1193071949,225634521,17781463,138770824,156552287,119713855,1078925865,1198639720,1355192007,228980219,272606591,248944820,96695036,-783712203,-165465756,22390733,0,802217659,151206290,26089738,1001904420,648788258,0,0,965641010,933561287,32079723,-197322225,-223254,-165465756,105135406,223295872,15565600,54728388,103266,54625122,16136035,0,46648019,0,163146896,624656216,0,176486011,0,202997,0,0,131682268,6241772,0,314613048,939269264,25000000,18400,1333089,20257,26371746,965641010,189269524,92541304,251852478,107306141,139064377,72109364,82752713,40393303,11069625,6707071,119738568,35320566,7740937,12069508,2608624,0,0,0,0,120003557,18182772,933561287,375169145,132905913,37453676,45829898,4353412,337849243,1,-631623,534053477,4951779,75377018,1,8853493,482348051,211051870,150254368,202997,80085,485365,0,30000,14631122,15429569,7688632,0,7688632,7740937,202997,202997,0,80085,80085,0,485365,485365,0,0,0,0,3660362,3660362,0,3259823,3259823,0,1,432267715,473504430,41236715,16682657,27959781,-13945306,10539583,-95794417,837766870,31856469,-165465756,248944820,82128024,933561287
218353,126665185,95809683,14833235,110642918,237308103,30755658,3084617,19137342,22221959,20092335,152256453,172348788,194570747,45676808,78093282,105546063,0,-155823139,27816206,15353628,0,143842854,19310038,871962,179378482,79900023,1925265,0,129279423,115956281,13323142,14493064,0,27816206,30741071,3835318,18544185,91106,0,91106,1057295,,30786,,1392116,55691877,0,24918758,14963725,26417178,0,0,0,1813960,0,68113621,123805498,4907736,566189,0,0,5473925,129279423,52553712,25733286,0,0,0,0,10895496,4575720,16745550,8224166,13780845,6190234,26971734,1720649,518308,,,,,-6711705,0,115956281,45241714,11490443,15065396,7043815,698048,36416865,1,-5359723,83110519,7066582,11025370,1,-1351982,66138499,38610226,19629099,16873347,10286897,21762978,50424,0,8966241,57939887,30968153,0,30968153,26971734,10637056,10637056,0,3339772,3339772,0,13719508,13719508,0,31788,31788,0,0,0,0,3240029,3240029,0,1,11361322,12929079,1567757,1094977,940284,-467504,0,880188,125910512,8880523,200388184,34750143,18949880,125030324
218487,16655653,19764589,105678,19870267,36525920,8292615,294495,3849321,4143816,0,40858260,40858260,45002076,9258508,19570001,0,0,-29012050,-9442049,1005483,0,38993691,7986030,0,47985204,28628516,306579,0,27318899,26568789,750110,-10192159,0,-9442049,2059462,636588,3883044,0,0,0,157874,,0,,323856,7060824,0,6572093,1515740,10557824,425616,0,45806,217472,241788,19576339,26637163,681736,0,0,0,681736,27318899,13265658,6394522,0,0,0,0,3920063,1811343,3221339,1443387,3713864,1746818,2100413,1227319,71342,,,,,-879867,0,26568789,11467412,3782525,2941880,1820070,0,6556902,1,-802695,22453905,641112,3129852,1,-77172,17363252,8617396,5162763,4252398,2542285,3821533,0,322035,90875,11029126,7992361,936352,8928713,2100413,3671733,3286679,385054,1600750,1432880,167870,3299702,2953663,346039,0,0,0,0,0,0,356528,319139,37389,1,1122807,1196556,73749,5250,77649,-9150,0,-739623,27016125,3825,36062710,15694012,294495,27755748
218520,36532517,50878534,1598857,52477391,89009908,14584658,431103,3988700,4419803,509124,67027389,67536513,71956316,14460562,51537165,14343193,0,-48702670,17177688,3179732,0,75486979,16239463,633199,95539373,44836906,1092032,0,55823455,55190383,633072,16550522,-5906,17177688,7683556,3677065,7369132,132041,132041,0,262673,,0,,255681,19380148,0,14339479,2697963,17251678,0,0,0,503767,0,34792887,54173035,1639415,11005,0,0,1650420,55823455,22202958,9500529,0,0,0,0,6123503,3368191,6989821,3296111,11786452,3945654,7731306,146904,21124,,,,,209439,0,55190383,20131609,8232783,4751320,3625906,0,18448765,1,-288396,37186162,1132219,5216645,1,497835,29110900,13328343,9368013,12787133,2469672,8842170,0,0,300000,24398975,16667669,0,16667669,7731306,8844015,8844015,0,1708109,1708109,0,6115545,6115545,0,0,0,0,0,0,0,0,0,0,1,3412187,3538104,125917,88608,191818,-104964,-49545,-668890,55174113,1368408,92709814,26750992,940227,55843003
218645,56171831,58653345,421540,59074885,115246716,17961718,2130515,3208750,5339265,16237574,83152039,99389613,104728878,18216719,41325895,24587889,267871,-55918818,10262837,5414059,0,117337638,6993559,499816,130245072,71719632,127905,0,74983646,67526317,7457329,2808652,-3144,10262837,19094691,2287692,8579124,1311242,1265000,46242,2928275,0,1951167,0,480148,36632339,0,15641308,5811,11773540,0,0,1331360,137003,0,28889022,65521361,9000000,16000,0,446285,9462285,74983646,30247635,16364329,926632,395098,3309958,1640234,5255708,1961263,9879973,4151577,7494641,2894338,5788167,4532418,711594,0,0,0,0,91185,0,67526317,28118433,11250399,1903740,3405955,560754,22287036,1,-377348,46556746,1023669,5462081,1,468533,36351098,17193050,11452607,6490089,4161503,8030892,0,1056850,3402401,23141735,16400434,953134,17353568,5788167,5688947,5688947,0,598617,598617,0,7039552,7039552,0,0,0,0,926391,926391,0,3100061,2146927,953134,1,30503543,32857828,2354285,0,3429510,-1075225,0,-2135225,65303050,7327060,87145652,29428946,18443626,67438275
218654,47028360,50755383,6329000,57084383,104112743,11040255,231282,2412444,2643726,1483032,50208797,51691829,54335555,12595915,49041070,34688468,79000,-35587010,48221528,11366217,0,63735971,3702556,267429,79072173,28316790,0,0,56059641,40395421,15664220,32581646,-24338,48221528,10770956,1668989,5267627,661147,522831,138316,10622,0,1035151,0,133335,19547827,0,10585945,2202546,4456594,0,0,734575,63669,0,18043329,37591156,18000000,0,0,468485,18468485,56059641,17768203,10109895,1195322,352888,2213811,671715,5388146,2671884,7933288,3348790,3969289,1645690,1810597,1865,0,0,0,0,0,114900,0,40395421,18800862,7549867,1122665,2076932,36888,10808207,1,-199502,25204930,524578,3188481,1,314401,24941654,12071337,7851774,4456594,314697,4866503,2000,408663,3360801,13409258,11598661,0,11598661,1810597,3854838,3854838,0,272205,272205,0,4209399,4209399,0,1730,1730,0,353483,353483,0,2907006,2907006,0,1,9284476,9886985,602509,0,808934,-206425,0,-2858935,37445926,15609550,84314220,16204471,1716373,40304861
