SchoolID,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentNative,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercent2Plus,GraduatePercentUnknown,GraduatePercentWomen
107123,0,,,,,,,,,,
107141,613,74,8,9,2,1,0,2,4,1,69
107220,0,,,,,,,,,,
107293,0,,,,,,,,,,
107318,0,,,,,,,,,,
107327,0,,,,,,,,,,
107442,0,,,,,,,,,,
107460,0,,,,,,,,,,
107488,0,,,,,,,,,,
107512,0,,,,,,,,,,
107521,0,,,,,,,,,,
107549,0,,,,,,,,,,
107558,0,,,,,,,,,,
107585,0,,,,,,,,,,
107600,0,,,,,,,,,,
107619,0,,,,,,,,,,
107637,0,,,,,,,,,,
107655,0,,,,,,,,,,
107664,0,,,,,,,,,,
107725,0,,,,,,,,,,
107743,0,,,,,,,,,,
107789,0,,,,,,,,,,
107831,0,,,,,,,,,,
107840,0,,,,,,,,,,
107877,17,94,6,0,0,0,0,0,0,0,76
107974,0,,,,,,,,,,
107983,926,51,18,2,1,1,0,1,2,2,63
107992,0,,,,,,,,,,
108065,0,,,,,,,,,,
108092,26,77,4,0,4,4,0,4,4,0,62
108232,3565,15,5,5,4,4,0,0,1,18,65
108269,103,34,6,4,44,44,0,0,3,10,67
108348,0,,,,,,,,,,
108649,0,,,,,,,,,,
108667,0,,,,,,,,,,
108807,0,,,,,,,,,,
108852,0,,,,,,,,,,
108861,51,10,33,2,20,20,0,0,2,12,41
108870,339,32,5,9,5,5,0,1,4,2,48
108977,0,,,,,,,,,,
109040,0,,,,,,,,,,
109086,35,51,29,3,6,6,0,0,9,0,51
109208,0,,,,,,,,,,
109350,0,,,,,,,,,,
109651,241,18,3,7,11,11,0,0,1,0,49
109721,0,,,,,,,,,,
109730,0,,,,,,,,,,
109785,4438,32,8,28,15,14,1,1,1,13,71
109819,0,,,,,,,,,,
109907,0,,,,,,,,,,
109934,0,,,,,,,,,,
110060,133,1,4,1,16,16,0,0,1,1,57
110097,2099,40,5,11,24,23,0,0,3,6,44
110194,0,,,,,,,,,,
110219,7,29,29,14,14,14,0,0,0,14,86
110246,0,,,,,,,,,,
110307,125,41,9,34,2,2,0,1,7,6,80
110316,1391,55,6,11,7,7,1,0,6,5,74
110334,0,,,,,,,,,,
110361,2631,34,11,36,6,6,1,0,4,4,72
110370,337,25,3,12,9,9,0,0,0,4,63
110398,1002,48,2,17,17,17,0,1,1,8,59
110404,1285,34,1,4,10,10,0,0,3,1,29
110413,1324,37,2,28,3,3,0,0,4,5,63
110422,915,60,0,16,9,8,0,0,5,4,51
110468,2792,39,8,23,8,8,0,0,6,5,74
110486,1448,24,4,47,5,5,0,1,3,15,70
110495,1284,33,2,41,9,8,1,0,4,9,75
110510,2271,23,7,45,5,4,0,0,3,9,66
110529,1664,25,4,34,18,18,0,0,3,6,49
110538,1095,57,2,20,4,4,0,1,3,10,71
110547,2833,20,14,39,13,13,0,0,4,6,70
110556,3012,29,4,39,10,10,0,0,4,7,67
110565,5420,29,3,27,16,16,0,0,3,6,63
110574,2792,21,9,16,23,22,1,0,3,9,63
110583,5776,27,5,37,15,14,0,0,4,6,64
110592,3813,15,6,48,14,14,0,0,2,5,65
110608,5161,30,4,30,8,8,0,0,3,20,67
110617,3089,39,5,20,13,13,0,0,5,8,64
110635,11648,34,2,8,14,14,0,0,4,9,46
110644,7449,41,2,11,14,14,0,0,5,2,55
