SchoolID,TotalEnrollment,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentIndian,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercentTwoPlus,GraduatePercentUnknown,GraduatePercentInternational,GraduatePercentWomen,GraduatePercentMen
114460,245,0,,,,,,,,,,,,
114637,52,0,,,,,,,,,,,,
114716,12931,0,,,,,,,,,,,,
114761,67,0,,,,,,,,,,,,
114789,25285,0,,,,,,,,,,,,
114859,18569,0,,,,,,,,,,,,
114938,5484,0,,,,,,,,,,,,
114947,308,0,,,,,,,,,,,,
115001,11176,0,,,,,,,,,,,,
115010,854,0,,,,,,,,,,,,
115126,10433,0,,,,,,,,,,,,
115296,13591,0,,,,,,,,,,,,
115357,173,0,,,,,,,,,,,,
115393,8478,0,,,,,,,,,,,,
115409,949,0,,,,,,,,,,,,
115658,79,0,,,,,,,,,,,,
115861,8111,0,,,,,,,,,,,,
115931,609,0,,,,,,,,,,,,
116226,107,0,,,,,,,,,,,,
116439,11994,0,,,,,,,,,,,,
116563,205,0,,,,,,,,,,,,
117052,8174,0,,,,,,,,,,,,
117195,3376,0,,,,,,,,,,,,
117238,131,0,,,,,,,,,,,,
117247,10211,0,,,,,,,,,,,,
117274,1783,0,,,,,,,,,,,,
117283,78,0,,,,,,,,,,,,
117645,24425,0,,,,,,,,,,,,
117690,8898,0,,,,,,,,,,,,
117706,16186,0,,,,,,,,,,,,
117715,5267,0,,,,,,,,,,,,
117724,12655,0,,,,,,,,,,,,
117733,15733,0,,,,,,,,,,,,
117788,14076,0,,,,,,,,,,,,
117803,220,0,,,,,,,,,,,,
117867,10425,0,,,,,,,,,,,,
117894,8230,0,,,,,,,,,,,,
117955,277,0,,,,,,,,,,,,
118134,96,0,,,,,,,,,,,,
118143,77,0,,,,,,,,,,,,
118161,114,0,,,,,,,,,,,,
118198,1025,0,,,,,,,,,,,,
118347,4673,0,,,,,,,,,,,,
118684,4032,0,,,,,,,,,,,,
118718,11835,0,,,,,,,,,,,,
118772,6716,0,,,,,,,,,,,,
118912,11707,0,,,,,,,,,,,,
118930,6669,0,,,,,,,,,,,,
118958,62,0,,,,,,,,,,,,
118976,17152,0,,,,,,,,,,,,
118994,335,0,,,,,,,,,,,,
119067,7351,0,,,,,,,,,,,,
119137,14091,0,,,,,,,,,,,,
119164,28742,0,,,,,,,,,,,,
119216,17215,0,,,,,,,,,,,,
119331,4213,0,,,,,,,,,,,,
119553,1134,0,,,,,,,,,,,,
119951,213,0,,,,,,,,,,,,
120069,315,0,,,,,,,,,,,,
120078,635,0,,,,,,,,,,,,
120087,225,0,,,,,,,,,,,,
120254,1854,0,,,,,,,,,,,,
120290,8375,0,,,,,,,,,,,,
120342,17085,0,,,,,,,,,,,,
120421,6911,0,,,,,,,,,,,,
120661,178,0,,,,,,,,,,,,
